E1,px1,py1,pz1,E2,px2,py2,pz2,M,Class
164.7812,29.1209,-35.68,-158.2143,80.8173,-10.6184,40.3163,-69.2335,90.6769,1
51.2459,44.6828,24.6679,4.5917,40.2377,-32.4402,-23.2711,-5.0156,90.6489,1
43.3135,-4.4764,41.5431,11.4102,38.4718,8.1207,-36.9608,-6.9305,81.4524,1
98.7815,-32.4691,53.5548,76.3899,87.7448,-35.5891,-37.6044,70.8413,90.7123,1
145.4943,-18.6748,-44.2119,137.3505,102.5657,14.6271,40.5221,93.0791,91.6839,1
151.7702,43.3646,-23.5843,143.5182,94.3776,-30.2191,30.0974,84.1907,92.3154,1
270.6555,-46.7584,-53.3517,-261.1927,26.8738,-15.0631,17.238,-14.0768,87.3172,1
49.5247,-42.2879,22.6219,-12.3562,41.9412,26.1501,-30.1587,12.8723,89.7135,1
39.6502,17.842,-32.8564,13.2009,120.9596,-12.0031,30.1224,116.5324,94.4629,1
168.1286,-73.4029,6.2622,-151.1292,153.2074,18.3936,31.6217,-148.7759,94.0882,1
57.4311,-23.3657,-13.8133,50.611999999999995,36.2491,15.5484,13.7691,-29.7095,90.9833,1
46.0004,-31.7033,6.2705,32.7356,38.928000000000004,3.432,-24.8475,29.7694,46.493,1
51.1158,-16.1841,-33.4099,-35.1379,46.2642,-9.3914,22.4574,39.3426,93.2261,1
128.6287,-96.0094,-25.6124,81.6795,33.4442,22.2057,-9.2957,23.2166,92.7301,1
65.3103,-30.1069,-23.8882,52.805,36.3979,25.1426,26.1947,-2.5495,88.2553,1
168.3739,13.2206,38.8599,-163.2939,34.9982,-20.6608,-14.1334,-24.4592,73.7715,1
169.1471,-44.248999999999995,-19.3914,162.101,194.752,30.648000000000003,29.2227,190.0923,90.0044,1
55.1368,20.5687,36.1475,36.1989,38.2745,-21.328000000000003,-28.2442,-14.5711,90.5255,1
57.4786,-34.0847,36.3298,-28.6734,65.2037,25.1102,-35.5816,-48.5278,94.92,1
51.2079,28.8493,-28.5101,31.2592,42.3067,-26.7029,19.4744,-26.4115,92.926,1
34.3408,-0.9412,34.0688,4.2098,101.2367,12.9733,-27.5884,96.5373,89.6914,1
210.5366,45.0511,10.3868,-205.3976,148.3936,-42.812,-14.370999999999999,-141.3551,92.5881,1
41.078,-32.2629,14.8719,-20.6237,69.9559,29.7372,-9.8976,62.5424,102.6656,1
132.2915,-59.3852,-8.061,-117.9383,81.4716,32.9814,9.8901,-73.8379,90.6423,1
40.6824,35.543,19.7008,1.9069,49.3675,-39.5797,3.3484,29.3152,81.1579,1
70.4941,35.371,4.7786,60.7904,25.2563,-19.95,15.3129,2.3226,67.4049,1
65.1001,29.3752,-13.9517,56.3957,33.1941,-27.2306,1.6901,-18.9073,90.008,1
66.7224,3.3453,54.3788,38.518,37.5928,23.2202,-29.4159,-2.9562,91.0392,1
51.3931,-49.3735,13.5085,4.5863,61.1179,35.2844,14.8873,47.6316,94.4838,1
86.6655,-1.1447,-33.1634,-80.0612,28.0589,2.6471,27.2679,6.0628,87.4581,1
52.3824,-1.3533,-44.2388,28.018,43.5518,-18.9668,39.1618,1.8362,88.7323,1
214.3574,12.8484,-39.3291,-210.3265,40.3929,-20.6284,21.8513,-26.9921,90.6177,1
93.2392,72.2343,-40.3018,-43.0291,37.5743,-29.4122,-4.6312,-22.9195,94.3941,1
79.8059,34.6756,61.331,37.4845,32.8682,-28.3767,-14.089,8.7511,91.0287,1
71.4521,15.4339,-48.845,49.8133,40.0262,-19.92,33.0927,10.4956,92.3146,1
36.9267,0.9581,-33.5456,-15.4063,63.1158,0.6897,29.0782,56.0141,91.3062,1
60.0304,44.5318,4.8345,-39.9649,41.3671,-40.7284,-2.1768,-6.9058,89.7945,1
129.6615,-47.9785,-6.4013,120.288,121.0277,30.0852,-15.3773,116.2159,78.2084,1
49.6398,22.1481,44.144,-4.9871,47.7026,-23.1969,-33.3565,-24.9957,91.9734,1
174.5077,-27.9392,51.7421,-164.3019,75.5801,20.1547,-26.4408,-67.875,89.0901,1
58.4992,-43.0487,23.8684,31.6112,62.6158,44.7378,-7.1565,43.221000000000004,93.7382,1
177.7411,-22.3233,-24.6635,-174.6003,26.718000000000004,6.7707,24.5763,-8.001,90.6553,1
140.6999,0.2976,-25.344,-138.3982,24.3145,-23.0292,7.5774,1.8532,88.0502,1
60.1951,-29.646,45.4182,-26.1104,37.4613,0.2403,-20.8472,31.1237,89.6839,1
48.0739,18.4063,-36.2696,-25.6286,111.6,-12.9876,37.7108,-104.2295,92.7426,1
198.123,-3.1293,39.5661,-194.1068,75.1613,2.9624,-38.1783,-64.675,87.8311,1
171.3794,-12.7089,46.4943,164.4617,144.0211,7.5947,-42.9424,137.2601,91.6658,1
69.4884,1.4579,-37.5218,-58.468999999999994,172.3621,-2.5604,35.0868,-168.7337,82.8459,1
31.2328,-23.2834,20.3505,-4.3855,112.9209,19.9504,-21.8474,-108.9761,88.9724,1
43.3346,-33.0918,-27.803,-3.1314,48.5125,36.0187,23.7656,22.1656,89.7146,1
146.8028,-21.7446,-47.387,-137.2323,65.3501,10.5686,37.9657,-52.1301,94.5361,1
131.5746,44.7984,36.2971,118.2687,40.0589,-18.6867,-26.4851,23.5386,92.5778,1
43.635,-15.6456,35.2194,20.4652,144.838,12.5747,-23.0913,142.4315,93.9693,1
59.4023,-35.0693,-47.8036,-3.6869,42.8677,-5.0360000000000005,39.4167,-16.0812,91.5947,1
